video_id,datetime,title,description
4-Byoa6BDaQ,2023-07-20T14:24:32Z,"When you’re robust, your environment can’t hurt you #antifragile #resilience",""
hB27yAkJLC8,2023-07-19T13:57:49Z,Being fragile means you have more downside than upside. #antifragile #mythology,""
Ty2mi994yfE,2023-07-17T16:02:05Z,How to learn Causal Inference with #python #dataanalysis #datascience,""
WzL3USLPwmY,2023-07-16T18:31:57Z,A physicist edited this video #physics  #datascience #curiosity,""
ejwVSYKo7jk,2023-06-30T20:19:24Z,Lessons from Spending $675.92 to Talk to Top Data Scientists on Upwork #freelance #datascience,""
_Wjn0gm4g20,2023-06-23T18:10:33Z,I Spent $675.92 Talking to Top Data Scientists on Upwork—Here’s what I learned,"Here, I break down conversations with 10 top data science freelancers from Upwork. The Data Entrepreneurs: ..."
NjMD1bGBNqw,2023-05-26T23:04:47Z,How to Create a Custom Email Signature in Gmail (2024),"Here, I continue the series on data science career tips and walk through creating a custom & professional Gmail signature. How to ..."
gp29_P3_lgo,2023-05-06T16:03:12Z,"My $100,000+ Data Science Resume (what got me hired)","Here, I break down the resume I used to get my current data science role and discuss what people can do beyond the resume to ..."
D9CLhQdLp8w,2023-04-24T21:30:03Z,How to Make a Data Science Portfolio With GitHub Pages (2024),"Here, I walk through a free and easy (no-code) way to make a data science portfolio website using GitHub Pages. More in this ..."
4vvoIA0MalQ,2023-03-18T23:34:38Z,Dimensionality Reduction &amp; Segmentation with Decision Trees | Python Code,This is the 3rd video in a series on decision trees. Here I build on the previous videos and discuss 2 uses of decision trees that go ...
ZaXpMou55lw,2023-03-03T14:22:24Z,10 Decision Trees are Better Than 1 | Random Forest &amp; AdaBoost,"This is the 2nd video in a series on decision trees. Here, I discuss how we can combine multiple decision trees into a tree ..."
B6a64wdD7Zs,2023-02-18T17:30:14Z,An Introduction to Decision Trees | Gini Impurity &amp; Python Code,"This is the 1st video in a new series on decision trees. Here, I give a beginner-friendly introduction to the technique and walk ..."
CTu8JNLq5ZU,2023-01-28T15:06:57Z,5 Reasons Why Every Data Scientist Should Consider Freelancing,The Data Entrepreneurs: https://www.youtube.com/@TheDataEntrepreneurs As someone who has worked in data science as both ...
O72uByJlnMw,2023-01-14T15:08:23Z,Causal Effects via Regression w/ Python Code,"This is the 5th video in a series on causal effects. In the previous videos, we discussed different ways to compute treatment effects ..."
-5c1KO-JF_s,2022-12-15T13:33:49Z,Smoothing Crypto Time Series with Wavelets | Real-world Data Project,My goal with this walk-through is to showcase what data science projects look like in the “real world”. While this is a simple use ...
ASU5HG5EqTM,2022-12-02T13:54:12Z,Causal Effects via DAGs | How to Handle Unobserved Confounders,"This is the 4th video in a series on causal effects. In the last video, we saw that we could evaluate any causal effect for a ..."
dejZzJIZdow,2022-10-22T13:30:09Z,Causal Effects via the Do-operator | Overview &amp; Example,This is the 3rd video in a series on causal effects. Here I discuss a new way to formulate the average treatment effect (ATE) using ...
dm-BWjyYQpw,2022-10-14T13:37:55Z,Causal Effects via Propensity Scores | Introduction &amp; Python Code,This is the 2nd video in a series on causal effects. Here I introduce the Propensity Score and discuss 3 ways we can use it to ...
BOPOX_mTS0g,2022-10-07T12:23:26Z,Causal Effects | An introduction,This is the first video in a series on causal effects. Here I introduce the Potential Outcomes Framework and use it to formulate 3 ...
5zeqo-R12vk,2022-10-01T02:01:57Z,How to STAY dumb,Do you want to look smart or get smarter? -- Connect Website: https://shawhintalebi.com/ Book a call: ...
WgmMK5fS0X0,2022-09-27T19:09:20Z,How to do MORE with LESS - multikills,"How can we get more out of our time? Some might try multitasking and say, ""doing two things at once will double my productivity!"
gazeatME3dI,2022-09-26T22:07:08Z,How to be more ANTI-FRAGILE,"Author Nassim Nicholas Taleb describes a property of life that allows it to not only survive disorder, but to gain from it. This is what ..."
aD9ereUJBII,2022-09-24T20:12:19Z,The Achievement TRAP,"Celebrate the wins, but don't let them make you complacent. There is always room to grow. -- Connect Website: ..."
6A4qwVOkPF0,2022-09-23T19:42:12Z,"It’s not DANGER behind the fear of conflict, but uncertainty","Conflict is scary. Although it may not seem like it, conflict provides tremendous opportunities for team building, relationships, and ..."
W6TkOTsI7vM,2022-08-26T13:30:31Z,What Is Data Science &amp; How To Start? | A Beginner&#39;s Guide,"As someone working in data science, I often get questions about the space and how to get into it. Here, I give my take on what ..."
5ezFcy9CIWE,2022-06-16T13:50:15Z,Persistent Homology | Introduction &amp; Python Example Code,This is the final video in a 3-part series on topological data analysis (TDA). TDA is an up-and-coming approach to data analysis ...
NlMrvCYlOOQ,2022-06-03T10:02:25Z,The Mapper Algorithm | Overview &amp; Python Example Code,This is the second video in a series of three on topological data analysis (TDA). TDA is an on-the-rise data science tool that looks ...
fpL5fMmJHqk,2022-05-21T19:15:28Z,Topological Data Analysis (TDA) | An introduction,This is the first video in a series of three on topological data analysis (TDA). TDA is an on-the-rise data science tool that looks the ...
poGxnBR3hEU,2022-02-23T20:52:15Z,"Multi-kills: How to Do More With Less (no, not by multi-tasking)","How can we get more out of our time? Some might try multitasking and say, ""doing two things at once will double my productivity!"
6m82mLNDCyg,2021-12-29T21:11:41Z,How to Be Antifragile | 7 Practical Tips,Author Nassim Nicholas Taleb describes a property of life that allows it to not only survive disorder but to gain from it. This is what ...
tufdEUSjmNI,2021-10-26T13:23:44Z,Causal Discovery | Inferring causality from observational data,"This is the final video in a three-part series on causality. In it, I sketch some big ideas from causal discovery, which aims to infer ..."
PFBI-ZfV5rs,2021-10-15T22:02:16Z,Causal Inference | Answering causal questions,"The second video in a 3-part series on causality. In this video I discuss key ideas from causal inference, which aims at answering ..."
WqASiuM4a-A,2021-10-04T20:02:15Z,Causality: An Introduction | How (naive) statistics can fail us,"The first video in a 3-part series on causality. This series is based on the work of Judea Pearl, who laid much of the groundwork for ..."
m19FqRrmvIE,2021-07-18T23:47:21Z,Why Conflict Is Good &amp; How You Can Use It,"Conflict is scary. Although it may not seem like it, conflict provides tremendous opportunities for team building, relationships, and ..."
OmNVB3ff98s,2021-05-10T20:13:32Z,"Shit Happens, Stay Solution Oriented","I've had many failures in my life, and sometimes I was lucky enough to learn from them. My goal with this video (and others like it) ..."
zJsl4lFyr6w,2021-04-05T19:19:10Z,Kmeans-based Blink Detecter DEMO,Demonstration of a simple kmeans-based blink detecter. Green label is kmean-based blink flag. Red number is a naive blink flag ...
GgLaP4Des1Q,2021-03-17T14:53:33Z,Independent Component Analysis (ICA) | EEG Analysis Example Code,The final video in a 2-part series on Principal Component Analysis (PCA) and Independent Component Analysis (ICA). This video ...
WDjzgnqyz4s,2021-02-22T19:39:27Z,Principal Component Analysis (PCA) | Introduction &amp; Example (Python) Code,The first video in a 2-part series on Principal Component Analysis (PCA) and Independent Component Analysis (ICA). This video ...
MX7ymkYGiZ0,2020-12-21T00:24:45Z,The Wavelet Transform | Introduction &amp; Example Code,The final video in a 3-part series on Fourier and Wavelet Transforms. This video introduces the Wavelet Transform and concludes ...
rPUytg38b6Q,2020-12-04T01:10:36Z,The Fast Fourier Transform | How does it (actually) work?,The second video in a 3-part series on Fourier and Wavelet Transforms. This video dives a little deeper into the Fast Fourier ...
mj86XmfOniY,2020-11-15T20:41:53Z,"Time Series, Signals, &amp; the Fourier Transform | Introduction",This is the first video in a three-part series on Fourier and Wavelet Transforms. It introduces basic concepts in the series. Series ...
Gwz4zXPeP_Q,2020-11-12T22:58:00Z,biometricDahboard3 DEMO,Demo of Fall 2020 UTDesign Project. This is the 3rd iteration of an ongoing project to visualize biometric data in real-time.
lciC1s4FO0g,2020-09-23T13:02:57Z,biometricDashboard2 DEMO,Demo of Spring 2020 UTDesign Project. This is the 2nd iteration of an ongoing project to visualize biometric data in real-time.
